100 1000
0 19 702
0 39 86
0 48 399
0 50 484
0 53 873
0 66 109
0 67 831
0 69 856
0 83 557
1 1 97
1 21 352
1 38 471
1 54 448
1 67 635
1 73 330
1 81 561
1 97 199
2 19 917
2 32 999
2 33 413
2 42 669
2 57 693
2 61 474
2 70 587
2 74 444
2 80 499
2 81 350
2 84 655
2 98 766
2 99 237
3 8 96
3 10 19
3 12 573
3 15 5
3 39 863
3 43 604
3 45 201
3 50 961
3 54 43
3 61 29
3 69 967
3 73 833
3 74 803
3 81 407
4 3 876
4 14 373
4 16 204
4 32 670
4 36 247
4 38 955
4 42 345
4 56 702
4 64 420
4 68 184
4 73 783
5 7 186
5 15 697
5 17 114
5 59 595
5 61 377
5 68 999
5 71 470
5 80 849
5 92 761
5 95 268
6 24 241
6 40 493
6 49 429
6 51 940
6 52 553
6 78 47
6 95 453
6 97 730
7 8 721
7 28 132
7 61 472
7 63 718
7 77 850
7 96 600
8 2 62
8 19 646
8 36 543
8 77 988
8 92 509
8 95 861
8 96 71
9 15 975
9 16 983
9 35 302
9 37 962
9 40 883
9 45 577
9 57 736
9 59 829
9 64 982
9 68 875
9 71 10
10 11 154
10 22 206
10 24 293
10 42 581
10 47 831
10 50 22
10 64 867
10 66 971
10 75 34
10 89 91
10 91 718
10 94 45
10 98 805
11 17 629
11 20 411
11 55 474
11 59 904
11 66 693
11 73 842
11 77 618
11 85 968
11 94 663
11 96 212
12 5 274
12 41 536
12 60 267
12 69 690
12 73 957
12 85 118
12 86 354
12 97 71
13 0 216
13 30 934
13 34 241
13 67 637
13 76 67
13 89 193
13 90 947
14 13 292
14 14 376
14 19 369
14 24 543
14 29 684
14 30 310
14 31 838
14 39 310
14 44 638
14 73 978
14 81 298
14 87 928
15 5 781
15 6 421
15 24 626
15 30 270
15 51 342
15 52 195
15 53 89
15 58 796
15 60 931
15 61 185
15 63 372
15 87 45
15 96 763
16 17 71
16 18 205
16 31 771
16 36 315
16 52 263
16 66 606
16 73 216
16 95 325
17 4 22
17 7 702
17 13 545
17 24 132
17 27 367
17 43 913
17 52 874
17 72 11
17 80 862
18 10 114
18 17 985
18 28 1
18 30 148
18 33 154
18 57 628
18 69 5
18 97 423
18 99 180
19 3 778
19 18 190
19 20 14
19 29 652
19 30 446
19 34 550
19 55 312
19 62 239
19 78 845
19 79 152
19 90 417
19 94 585
19 96 46
19 97 132
20 7 121
20 47 797
20 51 101
20 73 80
20 94 523
20 96 102
21 2 989
21 15 935
21 18 83
21 35 964
21 53 403
21 61 852
21 78 293
21 91 762
22 9 585
22 22 814
22 49 107
22 55 405
22 74 3
22 83 892
22 95 663
22 99 422
23 17 367
23 24 92
23 39 755
23 54 986
23 58 575
23 61 734
23 63 861
23 70 388
23 71 896
23 74 75
23 92 915
24 7 37
24 12 677
24 35 476
24 43 632
24 59 226
24 77 438
24 78 822
24 89 735
24 95 594
25 1 964
25 8 428
25 11 784
25 15 133
25 20 778
25 39 124
25 41 638
25 44 445
25 66 291
25 67 284
25 73 196
25 81 846
25 90 416
25 91 550
25 94 973
25 96 113
26 0 711
26 22 77
26 41 654
26 47 615
26 53 37
26 55 71
26 61 378
26 66 174
26 78 312
27 23 840
27 34 613
27 52 686
27 61 784
27 74 504
27 75 11
28 16 475
28 42 187
28 45 967
28 63 237
28 85 493
28 89 451
29 3 884
29 16 187
29 36 697
29 39 500
29 45 303
29 50 907
30 6 656
30 18 620
30 40 155
30 49 79
30 50 974
30 61 919
30 95 402
31 6 212
31 9 849
31 12 125
31 19 143
31 22 748
31 35 994
31 43 124
31 46 83
31 50 885
31 63 306
31 78 530
31 90 934
31 94 234
31 98 423
32 11 434
32 13 939
32 36 867
32 40 103
32 42 638
32 57 506
32 63 446
32 67 42
32 79 378
32 86 770
32 94 488
32 98 815
33 3 267
33 18 773
33 23 10
33 46 976
33 49 767
33 60 676
33 90 486
34 11 584
34 14 758
34 17 169
34 19 119
34 42 52
34 43 819
34 55 248
34 74 770
34 90 247
34 91 690
35 20 2
35 29 794
35 30 996
35 35 838
35 41 910
35 54 642
35 57 940
35 64 232
35 70 769
35 75 464
35 82 378
35 83 532
35 87 943
36 9 344
36 23 196
36 26 874
36 66 837
36 67 18
37 2 565
37 3 137
37 4 228
37 8 78
37 14 38
37 22 758
37 28 693
37 33 400
37 34 331
37 74 563
37 81 858
38 5 812
38 62 830
38 82 959
39 6 491
39 27 71
39 41 473
39 42 302
39 54 960
39 57 544
39 65 139
39 79 845
39 88 658
40 6 243
40 11 988
40 19 660
40 25 393
40 35 679
40 58 931
40 64 497
40 77 771
40 91 587
41 9 914
41 18 725
41 19 161
41 36 578
41 37 230
41 45 59
41 48 921
41 60 511
41 61 459
41 74 8
41 75 519
41 81 170
42 7 635
42 12 651
42 18 433
42 29 116
42 31 834
42 42 810
42 54 204
42 70 84
42 78 570
42 79 896
42 93 209
43 0 514
43 9 835
43 31 37
43 32 589
43 44 465
43 47 148
43 51 945
43 58 207
43 67 618
43 73 865
43 83 349
43 85 765
43 87 858
44 9 68
44 28 429
44 43 93
44 46 732
44 70 145
44 71 812
44 73 179
44 79 540
44 83 775
44 93 778
45 20 579
45 35 591
45 59 152
45 73 711
45 79 80
45 94 348
46 10 387
46 11 733
46 15 956
46 31 922
46 41 203
46 51 169
46 60 481
46 75 570
46 77 312
47 4 461
47 5 427
47 6 68
47 10 91
47 25 721
47 26 89
47 45 795
47 60 558
47 62 463
47 69 526
47 71 870
47 75 987
47 78 294
47 83 252
47 95 859
48 30 185
48 59 402
48 69 489
48 77 857
48 94 595
49 28 314
49 51 715
49 97 360
50 22 505
50 37 649
50 48 115
50 58 102
50 59 875
50 64 848
50 72 434
50 75 193
50 77 612
50 83 8
51 10 29
51 11 643
51 45 675
51 52 203
51 63 986
51 73 259
51 74 599
51 92 737
52 21 117
52 31 974
52 32 30
52 37 892
52 49 280
52 59 969
52 96 366
52 99 18
53 0 615
53 6 20
53 17 348
53 37 836
53 47 532
53 56 285
53 61 538
53 73 47
53 79 3
54 0 766
54 6 881
54 14 399
54 35 30
54 37 557
54 44 937
54 57 899
54 65 694
54 67 661
54 70 367
54 73 625
54 90 85
55 2 349
55 10 180
55 13 428
55 14 40
55 25 958
55 30 959
55 41 942
55 45 172
55 52 974
55 55 702
55 60 35
55 92 246
56 6 146
56 8 176
56 29 280
56 31 241
56 36 801
56 38 986
56 39 984
56 53 613
56 54 694
56 58 812
56 67 180
56 86 384
56 93 113
57 0 772
57 2 611
57 6 128
57 14 479
57 26 173
57 34 54
57 54 727
57 59 254
57 61 810
57 62 696
57 66 834
57 70 234
57 76 918
57 80 85
57 88 765
57 96 637
58 4 925
58 27 980
58 28 82
58 33 328
58 34 135
58 45 731
58 54 468
58 57 17
58 63 560
58 67 668
58 76 536
58 82 583
59 10 23
59 37 667
59 56 998
59 66 647
59 69 929
59 84 850
59 88 934
59 93 722
60 7 826
60 22 936
60 23 494
60 35 762
60 38 503
60 50 329
60 87 805
60 88 639
60 92 597
60 97 219
61 7 277
61 13 642
61 20 849
61 26 459
61 43 296
61 52 138
61 76 172
61 82 50
61 91 216
61 92 308
62 3 351
62 12 420
62 37 151
62 49 168
62 53 12
62 81 644
62 94 964
62 95 9
63 10 494
63 11 273
63 46 949
63 56 173
63 59 657
63 74 836
64 21 583
64 28 590
64 37 17
64 44 730
64 52 727
64 53 160
64 55 909
64 56 764
64 74 127
64 78 641
64 97 686
65 1 580
65 6 434
65 21 376
65 34 139
65 36 554
65 37 568
65 48 878
65 50 691
65 61 375
65 80 701
65 89 742
65 97 89
66 11 994
66 16 246
66 30 649
66 44 636
66 45 415
66 50 432
66 64 708
66 68 614
66 73 305
66 81 90
66 95 497
67 7 955
67 17 456
67 29 504
67 41 211
67 44 953
67 56 378
67 63 654
67 65 856
67 71 299
67 76 812
67 82 490
67 96 65
68 39 302
68 40 92
68 82 587
68 99 349
69 4 860
69 41 267
69 43 859
69 48 679
69 55 832
69 65 729
69 77 433
69 79 970
69 82 393
69 84 940
70 2 517
70 10 245
70 11 9
70 12 565
70 13 886
70 42 244
70 60 614
70 89 416
71 13 324
71 31 785
71 53 31
71 91 367
71 94 451
71 97 568
72 3 419
72 8 530
72 9 332
72 19 274
72 28 811
72 36 84
72 44 3
72 61 746
72 72 100
72 83 233
72 86 526
72 93 742
72 94 791
72 98 198
73 16 137
73 17 899
73 20 950
73 31 726
73 35 544
73 40 717
73 46 650
73 71 443
73 73 540
73 78 741
73 80 369
73 98 43
74 14 611
74 35 130
74 49 23
74 80 608
74 83 116
74 86 780
74 98 807
74 99 993
75 3 690
75 11 359
75 18 158
75 19 212
75 32 153
75 50 445
75 56 797
75 57 142
75 64 297
75 74 641
75 76 964
75 92 514
76 2 405
76 25 872
76 27 633
76 28 662
76 32 837
76 50 635
76 51 660
76 64 205
76 73 683
76 83 357
