50 250
0 12 270
0 19 428
0 20 391
0 44 502
0 47 590
1 1 608
1 17 401
1 18 92
1 26 189
1 30 504
2 9 412
2 14 755
2 24 468
2 33 594
3 6 857
3 11 550
3 21 640
3 22 671
3 43 521
4 10 443
4 15 114
4 19 415
4 20 486
4 32 260
4 33 617
5 1 631
5 2 605
5 13 308
5 16 963
5 18 957
5 47 73
6 11 841
6 14 896
6 24 114
6 29 876
6 33 189
6 49 78
7 5 591
7 7 643
7 11 152
7 13 637
7 15 158
7 29 205
7 31 484
7 45 622
8 0 733
8 3 379
8 8 291
8 14 823
8 19 434
9 0 568
9 10 404
9 13 523
9 15 777
9 16 380
10 9 212
10 13 496
10 29 437
10 41 215
11 1 664
11 14 961
11 18 903
11 34 823
11 37 146
11 43 694
11 47 482
12 20 188
12 27 60
12 28 166
12 34 239
12 40 216
13 4 506
13 13 606
13 37 977
13 38 434
13 48 177
14 9 392
14 10 723
14 12 363
14 20 796
14 40 557
14 44 434
15 3 763
15 14 781
15 17 439
15 21 281
15 22 271
15 32 413
16 12 14
16 16 715
16 20 21
16 41 71
16 42 781
16 47 233
17 23 802
17 27 103
17 29 925
17 37 81
18 23 811
18 28 524
18 32 136
18 36 451
19 0 621
19 1 339
19 21 42
19 23 706
19 37 835
19 41 348
19 48 8
20 20 179
20 26 520
20 44 266
21 14 420
22 1 577
22 8 701
22 9 494
22 25 692
22 33 559
22 48 528
23 11 314
23 35 563
23 43 373
23 48 394
24 11 773
24 39 329
24 46 852
25 2 516
25 3 391
25 14 684
25 16 481
25 22 745
25 25 660
25 47 34
26 4 44
26 37 818
26 49 775
27 2 445
27 7 585
27 10 153
27 20 202
27 23 243
28 15 843
28 17 484
28 27 382
28 45 324
28 47 44
29 3 478
29 6 847
29 8 562
29 15 154
30 8 323
30 15 53
30 28 497
30 29 183
30 48 963
31 9 665
31 28 652
31 29 292
32 9 981
32 33 244
32 44 282
33 16 489
33 27 388
33 32 304
33 34 565
33 38 851
33 45 308
34 11 835
34 16 596
34 20 350
34 25 804
35 0 704
35 9 173
35 22 427
35 49 130
36 16 332
36 21 375
36 34 602
37 0 346
37 4 426
37 6 273
37 21 685
37 31 158
37 35 354
37 41 942
37 45 932
38 11 230
38 26 931
38 32 134
38 44 831
38 47 379
38 49 951
39 25 615
39 33 990
39 39 250
39 40 194
39 48 139
40 9 168
40 11 732
40 12 911
40 15 752
40 31 754
41 6 410
41 8 417
41 20 182
41 25 752
41 26 321
42 7 941
42 15 762
42 43 337
43 1 575
43 10 674
43 17 24
43 25 876
43 30 788
43 38 292
43 39 175
43 44 51
43 48 659
44 0 471
44 11 684
44 13 552
44 40 441
44 48 937
45 0 335
45 2 967
45 7 976
45 21 270
45 29 154
46 2 52
46 47 656
47 4 270
47 12 61
47 19 155
47 23 147
47 26 790
47 31 106
47 41 268
48 2 869
48 12 967
48 18 599
48 32 420
48 36 860
48 37 64
48 43 499
48 44 798
49 15 495
49 31 930
49 36 903
49 39 192
